30B;29;12401;12500;1841;1762;1001;2702;2844;2844
30B;29;12501;12600;1862;1782;1011;2734;2877;2877
30B;29;12601;12700;1882;1797;1021;2768;2912;2912
30B;29;12701;12800;1905;1824;1031;2800;2944;2944
30B;29;12801;12900;1932;1849;1033;2832;2977;2977
30B;29;12901;13000;1958;1877;1043;2863;3009;3009
30B;29;13001;13100;1985;1902;1053;2895;3042;3042
30B;29;13101;13200;2012;1929;1063;2930;3077;3077
30B;29;13201;13300;2038;1954;1074;2961;3109;3109
30B;29;13301;13400;2065;1979;1084;2993;3142;3142
30B;29;13401;13500;2092;2007;1086;3025;3174;3174
30B;29;13501;13600;2118;2032;1096;3057;3207;3207
30B;29;13601;13700;2145;2059;1106;3091;3242;3242
30B;29;13701;13800;2172;2084;1116;3123;3274;3274
30B;29;13801;13900;2198;2112;1127;3155;3307;3307
30B;29;13901;14000;2225;2137;1137;3187;3339;3339
30B;29;14001;14100;2252;2164;1139;3218;3372;3372
30B;29;14101;14200;2278;2189;1149;3253;3407;3407
30B;29;14201;14300;2305;2217;1159;3284;3439;3439
30B;29;14301;14400;2332;2242;1169;3316;3472;3472
30B;29;14401;14500;2358;2269;1180;3348;3504;3504
30B;29;14501;14600;2383;2294;1190;3378;3535;3535
30B;29;14601;14700;2409;2319;1192;3411;3569;3569
30B;29;14701;14800;2435;2347;1202;3442;3601;3601
30B;29;14801;14900;2460;2372;1212;3473;3632;3632
30B;29;14901;15000;2486;2399;1222;3504;3664;3664
30B;29;15001;15100;2511;2424;1232;3534;3695;3695
30B;29;15101;15200;2537;2452;1243;3568;3729;3729
30B;29;15201;15300;2562;2477;1253;3598;3760;3760
30B;29;15301;15400;2588;2504;1255;3629;3792;3792
30B;29;15401;15500;2613;2529;1265;3660;3823;3823
30B;29;15501;15600;2639;2557;1275;3690;3854;3854
30B;29;15601;15700;2665;2582;1285;3724;3888;3888
30B;29;15701;15800;2690;2609;1296;3754;3920;3920
30B;29;15801;15900;2716;2634;1306;3785;3951;3951
30B;29;15901;16000;2741;2662;1308;3816;3983;3983
30B;29;16001;16100;2767;2687;1318;3846;4014;4014
30B;29;16101;16200;2792;2712;1328;3880;4048;4048
30B;29;16201;16300;2818;2739;1338;3910;4079;4079
30B;29;16301;16400;2843;2764;1349;3941;4111;4111
30B;29;16401;16500;2869;2792;1359;3972;4142;4142
30B;29;16501;16600;2894;2817;1361;4002;4173;4173
30B;29;16601;16700;2920;2844;1371;4036;4207;4207
30B;29;16701;16800;2946;2869;1381;4066;4239;4239
30B;29;16801;16900;2971;2897;1391;4097;4270;4270
30B;29;16901;17000;2997;2922;1402;4128;4302;4302
30B;29;17001;17100;3022;2949;1412;4158;4333;4333
30B;29;17101;17200;3048;2974;1414;4192;4367;4367
30B;29;17201;17300;3073;3002;1424;4222;4398;4398
30B;29;17301;17400;3099;3027;1434;4253;4430;4430
30B;29;17401;17500;3124;3052;1444;4284;4461;4461
30B;29;17501;17600;3150;3079;1455;4314;4492;4492
30B;29;17601;17700;3176;3107;1465;4348;4526;4526
30B;29;17701;17800;3201;3137;1475;4378;4558;4558
30B;29;17801;17900;3227;3164;1477;4409;4589;4589
30B;29;17901;18000;3252;3192;1488;4440;4621;4621
30B;29;18001;18100;3278;3219;1498;4470;4652;4652
30B;29;18101;18200;3303;3247;1508;4504;4686;4686
30B;29;18201;18300;3329;3277;1519;4534;4717;4717
30B;29;18301;18400;3354;3304;1529;4565;4749;4749
30B;29;18401;18500;3380;3332;1531;4596;4780;4780
30B;29;18501;18600;3405;3359;1541;4627;4811;4811
30B;29;18601;18700;3431;3389;1552;4660;4845;4845
30B;29;18701;18800;3457;3417;1562;4690;4877;4877
30B;29;18801;18900;3482;3444;1573;4721;4908;4908
30B;29;18901;19000;3508;3472;1583;4752;4940;4940
30B;29;19001;19100;3533;3499;1585;4783;4971;4971
30B;29;19101;19200;3559;3528;1594;4816;5005;5005
30B;29;19201;19300;3584;3555;1603;4846;5036;5036
30B;29;19301;19400;3610;3581;1613;4877;5068;5068
30B;29;19401;19500;3635;3608;1622;4908;5099;5099
30B;29;19501;19600;3661;3635;1632;4939;5131;5131
30B;29;19601;19700;3687;3664;1633;4972;5164;5164
30B;29;19701;19800;3712;3690;1642;5002;5196;5196
30B;29;19801;19900;3738;3717;1652;5033;5227;5227
30B;29;19901;20000;3763;3743;1661;5064;5259;5259
30B;29;20001;20200;3814;3799;1680;5128;5324;5324
30B;29;20201;20400;3865;3852;1690;5189;5387;5387
30B;29;20401;20600;3917;3908;1709;5251;5449;5449
30B;29;20601;20800;3968;3961;1728;5314;5515;5515
30B;29;20801;21000;4019;4016;1739;5376;5578;5578
30B;29;21001;21200;4070;4070;1760;5440;5643;5643
30B;29;21201;21400;4121;4123;1803;5501;5706;5706
30B;29;21401;21600;4172;4178;1848;5563;5768;5768
